,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Longyearbyen,78.2186,15.6401,40.84,81,75,3.44,SJ,broken clouds,1626836392
1,Kyabé,9.4515,18.9449,71.38,93,100,3.94,TD,light rain,1626836633
2,Yabēlo,4.8833,38.0833,56.7,79,100,10.69,ET,light rain,1626836633
3,Rikitea,-23.1203,-134.9692,71.85,60,72,22.57,PF,broken clouds,1626836634
4,East London,-33.0153,27.9116,54.79,68,99,20.15,ZA,overcast clouds,1626836383
5,Kruisfontein,-34.0033,24.7314,45.88,71,77,12.64,ZA,broken clouds,1626836634
6,Penzance,50.1186,-5.5371,70.81,87,3,4.54,GB,clear sky,1626836634
7,Hithadhoo,-0.6,73.0833,81.73,77,100,12.33,MV,heavy intensity rain,1626836635
8,Boa Vista,2.8197,-60.6733,76.98,88,75,3.44,BR,broken clouds,1626836635
9,Caravelas,-17.7125,-39.2481,71.29,66,100,10.6,BR,overcast clouds,1626836635
10,Haines Junction,60.7522,-137.5108,73.78,37,24,7.09,CA,few clouds,1626836636
11,Grand Gaube,-20.0064,57.6608,71.38,65,2,8.01,MU,clear sky,1626836636
12,Avarua,-21.2078,-159.775,78.85,83,75,13.8,CK,light rain,1626836637
13,Predivinsk,57.0669,93.4378,73.83,50,31,2.68,RU,scattered clouds,1626836637
14,Ambon City,-3.6954,128.1814,75.34,100,40,2.3,ID,heavy intensity rain,1626836637
15,Saskylakh,71.9167,114.0833,57.07,73,100,12.91,RU,overcast clouds,1626836638
16,Vestmannaeyjar,63.4427,-20.2734,52.54,96,100,8.95,IS,overcast clouds,1626836591
17,Fenyi,27.8112,114.6681,87.37,70,100,4.52,CN,overcast clouds,1626836638
18,Torbay,47.6666,-52.7314,67.75,97,90,13.8,CA,light rain,1626836638
19,Hermanus,-34.4187,19.2345,50.81,74,60,20.31,ZA,light rain,1626836390
20,Yangi Marg`ilon,40.4272,71.7189,72.32,64,100,4.61,UZ,overcast clouds,1626836639
21,Vila Velha,-20.3297,-40.2925,53.94,72,22,8.72,BR,few clouds,1626836427
22,Nikolskoye,59.7035,30.7861,58.78,95,32,3.6,RU,scattered clouds,1626836639
23,Greytown,-29.0642,30.5928,41.32,27,71,3.31,ZA,broken clouds,1626836639
24,Ilulissat,69.2167,-51.1,44.62,65,83,6.91,GL,broken clouds,1626836640
25,Albany,42.6001,-73.9662,70.36,89,61,3.49,US,moderate rain,1626836406
26,Puerto Ayora,-0.7393,-90.3518,72.55,93,100,5.99,EC,overcast clouds,1626836640
27,Bambous Virieux,-20.3428,57.7575,71.22,60,40,14.97,MU,light rain,1626836398
